sample_id	CD4	PTPRC	CTLA4	PDCD1	HAVCR2	VSIR	LAG3	CD38
TCGA-AA-3850-01	1184.4829	792.7042	51.7588	74.2211	208.5324	1058.6532	102.5109	197.4475
TCGA-AA-3851-01	985.9441	656.6953	42.2902	36.7186	212.0197	659.9245	62.8402	56.1556
TCGA-AA-3852-01	732.2728	521.6187	27.8738	34.9197	134.353	687.3647	78.6611	28.8373
TCGA-AA-3854-01	569.0711	260.2798	12.6391	17.4357	91.6703	685.2544	20.732	9.8154
TCGA-AA-3855-01	753.8947	445.173	25.5525	36.4822	105.2099	663.3747	67.1252	79.6483
TCGA-AA-3856-01	1331.3974	958.0336	60.9956	57.04	242.7589	965.2738	133.2793	102.1284
TCGA-AA-3858-01	599.5335	288.6313	27.85	26.6726	115.317	704.1133	47.4345	43.1852
TCGA-AA-3864-01	459.4364	480.7111	26.3784	11.5559	164.569	446.3828	55.8259	28.642
TCGA-AA-3866-01	1679.5274	1677.1066	76.7785	59.2845	560.7713	808.6398	109.6187	96.5129
TCGA-AA-3867-01	678.9492	373.9715	9.1409	26.0492	218.2287	563.2411	27.2419	40.2988
TCGA-AA-3869-01	849.3978	978.1188	41.6982	39.8187	197.6201	592.6997	81.1802	37.3278
TCGA-AA-3870-01	1054.0186	659.375	31.2605	62.2184	317.375	1669.8102	83.8303	32.2012
