gene,raw_spearman_rho,qc_adjusted_rank_correlation,qc_adjusted_p,FDR_BH
IFI30,0.14146961110025408,0.14961022126322968,0.17174430807522795,0.8545196146909353
ZNF496,0.132890365448505,0.14959621928347816,0.17178488026075261,0.8545196146909353
ACTB,0.1592143834277897,0.1495169913053675,0.17201458419556195,0.8545196146909353
ITFG1,0.18348641782294314,0.14951362999901863,0.17202433454415622,0.8545196146909353
KLHL1,0.11661129568106311,0.14948925807518934,0.17209504383102234,0.8545196146909353
GTF2H3,0.1678327144811413,0.14948861268747926,0.17209691655866516,0.8545196146909353
CPEB3,0.14635528630056674,0.14947140729995276,0.17214684711403885,0.8545196146909353
YIF1A,0.1346687512214188,0.14945912475775358,0.17218249793209822,0.8545196146909353
GCC2,0.14207543482509283,0.14945872220813575,0.17218366644836602,0.8545196146909353
DNAH7,0.11168653507914793,0.14939372420245683,0.17237241829767752,0.8545196146909353
NPTX1,0.13013484463552863,0.14934162827560002,0.17252381264740682,0.8545196146909353
APOL6,0.18073089700996675,0.1493411545237297,0.17252518985079515,0.8545196146909353
TSEN15,0.14100058628102405,0.14920469567439357,0.17292221377500738,0.8545196146909353
RAD51,0.16523353527457493,0.14919332416386988,0.17295532917363496,0.8545196146909353
SASH1,0.13631033808872386,0.1491929149498645,0.1729565209477191,0.8545196146909353
GTF3C2,0.09714676568301739,0.1491854526486871,0.1729782548318502,0.8545196146909353
GPX3,0.10711354309165527,0.14917954593374885,0.17299545950654405,0.8545196146909353
CTBP2,0.13228454172366622,0.14904051926336642,0.17340076963361084,0.8545196146909353
ANKLE2,0.1012702755520813,0.14896176184833232,0.17363068326206216,0.8545196146909353
