ranking,pathway,size,ES,NES,p_value,FDR_BH
qc_adjusted,HALLMARK_GLYCOLYSIS,188,0.22835838152863414,1.1180993636466083,0.20738440303657696,0.7342459435663075
qc_adjusted,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,194,-0.21463176040306048,-1.0874916142398339,0.25221858944418496,0.7342459435663075
qc_adjusted,HALLMARK_TNFA_SIGNALING_VIA_NFKB,190,0.2215203550430895,1.0864662714566542,0.2677882930248861,0.7342459435663075
qc_adjusted,HALLMARK_APOPTOSIS,154,-0.21848986861954894,-1.0673605142651763,0.28927563499529635,0.7342459435663075
qc_adjusted,HALLMARK_BILE_ACID_METABOLISM,109,0.2363808053015209,1.0738936430972748,0.30415913200723327,0.7342459435663075
qc_adjusted,HALLMARK_INTERFERON_ALPHA_RESPONSE,92,0.24680675809067762,1.07829854397182,0.30597552195824335,0.7342459435663075
qc_adjusted,HALLMARK_COAGULATION,129,-0.22322932155763175,-1.0653506086542641,0.31029810298102983,0.7342459435663075
qc_adjusted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,164,-0.21063682081505017,-1.0479298336800444,0.32793709528214615,0.7342459435663075
qc_adjusted,HALLMARK_TGF_BETA_SIGNALING,48,0.2767219074126096,1.0674848125551475,0.34167289021657954,0.7342459435663075
qc_adjusted,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,98,0.23080431974531287,1.027847507267222,0.39517291066282423,0.7342459435663075
qc_adjusted,HALLMARK_UV_RESPONSE_UP,141,0.2172919685292021,1.0254577906338715,0.39713774597495527,0.7342459435663075
qc_adjusted,HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0.2314628895036888,1.0264418131336814,0.3996370235934664,0.7342459435663075
qc_adjusted,HALLMARK_ANDROGEN_RESPONSE,92,0.23274896124562866,1.0265917596877725,0.4050258684405026,0.7342459435663075
qc_adjusted,HALLMARK_PEROXISOME,103,-0.22128002659076726,-1.0142134180531521,0.4142988084326306,0.7342459435663075
qc_adjusted,HALLMARK_INFLAMMATORY_RESPONSE,196,0.20673279829072658,1.015778482862896,0.4154488517745303,0.7342459435663075
qc_adjusted,HALLMARK_MITOTIC_SPINDLE,190,-0.19951229824021507,-1.0073730917712258,0.43273753527751646,0.7342459435663075
qc_adjusted,HALLMARK_UV_RESPONSE_DN,141,-0.2086671724749806,-1.0070596806916663,0.43651152281970174,0.7342459435663075
qc_adjusted,HALLMARK_MYC_TARGETS_V2,53,0.25183331548121635,1.0004053666172892,0.44345238095238093,0.7342459435663075
qc_adjusted,HALLMARK_P53_PATHWAY,190,0.2044598359465171,1.003517205882729,0.4445993031358885,0.7342459435663075
qc_adjusted,HALLMARK_MYOGENESIS,192,0.2013330352866341,0.9909564247134018,0.477972027972028,0.7342459435663075
qc_adjusted,HALLMARK_E2F_TARGETS,181,-0.19603835691557583,-0.9848267848629387,0.4951276102088167,0.7342459435663075
qc_adjusted,HALLMARK_IL2_STAT5_SIGNALING,191,0.19954468847312298,0.9821977276389613,0.49733380732314253,0.7342459435663075
qc_adjusted,HALLMARK_HEME_METABOLISM,176,0.2019004906679754,0.980911122336401,0.4992872416250891,0.7342459435663075
qc_adjusted,HALLMARK_XENOBIOTIC_METABOLISM,188,0.1976426455947565,0.9717012887125198,0.5176512968299711,0.7345648400694272
qc_adjusted,HALLMARK_SPERMATOGENESIS,124,0.20994008135191047,0.9687373764347676,0.529887482419128,0.7345648400694272
qc_adjusted,HALLMARK_WNT_BETA_CATENIN_SIGNALING,40,0.2555012498899397,0.9487959026244036,0.5435779816513762,0.7345648400694272
qc_adjusted,HALLMARK_ANGIOGENESIS,35,-0.25389755294225436,-0.9372501870598025,0.5623059866962306,0.7392133759748639
qc_adjusted,HALLMARK_PROTEIN_SECRETION,90,0.21402748711785838,0.9390797419072558,0.5765864332603938,0.7392133759748639
qc_adjusted,HALLMARK_COMPLEMENT,190,-0.1858471152230845,-0.9420050832517319,0.6310861423220974,0.7888576779026217
qc_adjusted,HALLMARK_HEDGEHOG_SIGNALING,35,0.233045538711889,0.8360822390314234,0.7312824314306894,0.8899916795435635
qc_adjusted,HALLMARK_FATTY_ACID_METABOLISM,139,0.185731866078826,0.870437528400204,0.7610241820768137,0.8899916795435635
qc_adjusted,HALLMARK_IL6_JAK_STAT3_SIGNALING,79,0.19561111784067495,0.8343498236199732,0.7859778597785978,0.8899916795435635
qc_adjusted,HALLMARK_CHOLESTEROL_HOMEOSTASIS,68,-0.19380173678164986,-0.8290164471724212,0.8021015761821366,0.8899916795435635
qc_adjusted,HALLMARK_ESTROGEN_RESPONSE_EARLY,194,0.17575517042488617,0.8635343317421605,0.8159010600706714,0.8899916795435635
qc_adjusted,HALLMARK_MTORC1_SIGNALING,173,-0.17411548606454774,-0.8619618650178847,0.8351548269581056,0.8899916795435635
qc_adjusted,HALLMARK_INTERFERON_GAMMA_RESPONSE,181,0.17409074186526882,0.8509618647665997,0.8365921787709497,0.8899916795435635
qc_adjusted,HALLMARK_ESTROGEN_RESPONSE_LATE,190,0.16966413093636987,0.8340552641965757,0.8878923766816144,0.9100338658486853
qc_adjusted,HALLMARK_APICAL_SURFACE,42,-0.19063366866178605,-0.7335291902158347,0.8918331885317116,0.9100338658486853
qc_adjusted,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,43,-0.17939768147022417,-0.6911047572938588,0.9483870967741935,0.9483870967741936
