k	target_gene	candidate_gene	rank	distance
25	HAVCR2	AC016831.7	67	0.5732869641343916
25	HAVCR2	SUSD3	68	0.5746381839348719
25	HAVCR2	PDE3B	69	0.5746400196833525
25	HAVCR2	ENTPD1	70	0.5752289450983504
25	HAVCR2	GIMAP2	71	0.5790402879192365
25	HAVCR2	PREX1	72	0.5811332120359767
25	HAVCR2	RNF166	73	0.5918637258035795
25	HAVCR2	FYN	74	0.5955990926420811
25	HAVCR2	SASH3	75	0.5986700627295803
25	HAVCR2	LYST	76	0.6002016671482943
25	HAVCR2	TMC8	77	0.6053173929909471
25	HAVCR2	GBP5	78	0.6119311762545271
25	HAVCR2	GNG2	79	0.6149453106174143
25	HAVCR2	SUPT3H	80	0.61880130472948
25	HAVCR2	GIMAP1	81	0.631600746705374
25	HAVCR2	PARVG	82	0.6362782806267202
25	HAVCR2	ARHGEF3	83	0.6371685507765127
25	HAVCR2	ITGA4	84	0.6390546786932564
25	HAVCR2	MDFIC	85	0.639207079436473
25	HAVCR2	IKZF1	86	0.6432300322754659
25	HAVCR2	SELL	87	0.6470261430945643
25	HAVCR2	ZNF331	88	0.6484914414117366
25	HAVCR2	CYTH4	89	0.6547873953175507
25	HAVCR2	IL27RA	90	0.6555731091755891
25	HAVCR2	SRGAP3	91	0.657353403638479
25	HAVCR2	PRKCH	92	0.66332103096919
25	HAVCR2	CBLB	93	0.665939690350457
25	HAVCR2	CD84	94	0.6685787995614841
25	HAVCR2	SP140	95	0.6700176103986945
25	HAVCR2	ARHGAP9	96	0.6719140781767055
25	HAVCR2	PTPN4	97	0.6726817387101282
25	HAVCR2	RAB8B	98	0.673308747674165
25	HAVCR2	RP5-1171I10.5	99	0.6823256677853657
25	HAVCR2	ETS1	100	0.6860252444820428
25	VSIR	TMX4	1	0.06846310130081301
25	VSIR	MIS18BP1	2	0.119464828425928
25	VSIR	PSMB10	3	0.1213814473892814
25	VSIR	FOXN3	4	0.1278831843487962
25	VSIR	CTC-539A10.4	5	0.13184447632782598
25	VSIR	CD58	6	0.13965633971433306
25	VSIR	HELZ	7	0.14027883969342753
25	VSIR	STARD3NL	8	0.14527762425030472
25	VSIR	LNPEP	9	0.1465080536253501
25	VSIR	FAM104A	10	0.148844284614104
25	VSIR	TNIP2	11	0.15341513907862805
25	VSIR	SFXN1	12	0.1560897349909042
25	VSIR	PLK3	13	0.16113631759340216
25	VSIR	IL6ST	14	0.1614708491963029
25	VSIR	PCID2	15	0.16230050701311488
25	VSIR	DGKZ	16	0.16252484598442815
25	VSIR	AIM1	17	0.16391984569792148
25	VSIR	ZNF791	18	0.16568990637126377
25	VSIR	GPATCH8	19	0.17525366569403067
25	VSIR	MTF2	20	0.17560557804130947
25	VSIR	RSBN1	21	0.17574957810653238
25	VSIR	B3GAT3	22	0.17764199136838058
25	VSIR	DNAJB14	23	0.17875009640758338
25	VSIR	GNPTAB	24	0.17983339218214608
25	VSIR	GYG1	25	0.1845783843851939
25	VSIR	RNF115	26	0.18501600118078926
25	VSIR	NABP1	27	0.1864174933555623
25	VSIR	PRNP	28	0.18752996604484687
25	VSIR	CREBZF	29	0.1881679045911662
25	VSIR	RP11-773D16.1	30	0.19160379498276514
25	VSIR	NSD1	31	0.1922323916257836
25	VSIR	EPS15	32	0.19330889901432166
25	VSIR	ITSN2	33	0.19526742651612272
25	VSIR	C19orf25	34	0.20269869553787667
25	VSIR	TLE4	35	0.20597144068184112
25	VSIR	H2AFX	36	0.20760346807317856
25	VSIR	TRIM38	37	0.20787436371217077
25	VSIR	CBFB	38	0.21086829060886497
25	VSIR	RICTOR	39	0.21099291855595068
25	VSIR	ATF7IP	40	0.21289420654387883
