sample_ID,library,distance,AUC_ROC,AUC_PR,COEFF,genes_depleted,SD_LFC,MEAN_LFC,TPR,FPR,order
WTSI-COLIVM_100,minLib,15.0622115020844,0.985100210332906,0.986878205647192,2.80743170497722,1650,0.316129161507865,-0.101310715206739,0.92443729903537,0.0150375939849624,142
WTSI-COLO_198,minLib,39.2127263235489,0.983482822812659,0.981409348126169,2.3235673269505,1030,0.395487992516609,-0.100982132895152,0.717041800643087,0.0135338345864662,53
WTSI-COLO_216,minLib,29.6097256169941,0.972997606556584,0.973440619287935,2.62358600299156,1443,0.35656035647854,-0.10087176207885,0.847266881028939,0.0135338345864662,98
WTSI-COLO_278,v1_1,39.9099833248479,0.975727099098228,0.975175432707892,2.33798916357009,1137,0.410032241518942,-0.101126781257186,0.705787781350482,0.0120300751879699,60
WTSI-COLO_376,v1_1,23.3818984884554,0.940884365253971,0.929187773418551,2.73082159817752,1245,0.368672921386049,-0.102557595780958,0.836012861736334,0.0150375939849624,96
WTSI-COLO_414,minLib,28.7626219949765,0.985121968909412,0.986710490077124,2.26469413378615,1064,0.406757326862528,-0.100838301282945,0.715434083601286,0.0120300751879699,49
WTSI-COLO_427,minLib,36.3601170212857,0.942494499915383,0.948106042652196,2.25037779350011,1211,0.414310092302599,-0.100735943767955,0.726688102893891,0.0120300751879699,59
WTSI-COLO_435,minLib,25.405570651293,0.932526654256219,0.943455268599042,2.41085938367516,1417,0.371268047577704,-0.100830723576078,0.813504823151125,0.0135338345864662,82
WTSI-COLO_446,minLib,41.9705353793242,0.965311993810894,0.969250756291024,1.86616563544052,607,0.52042341447965,-0.100215325039542,0.419614147909968,0.00751879699248126,10
WTSI-COLO_452,minLib,39.8376013299267,0.967524115755627,0.970512311173523,2.15329801110613,1083,0.409133612965417,-0.100774564261103,0.692926045016077,0.0150375939849624,43
WTSI-COLO_455,minLib,47.4941866514829,0.936786500012088,0.940287572868518,1.44475162294401,297,0.635985959813967,-0.0994159112030089,0.205787781350482,0.00300751879699246,1
WTSI-COLO_457,minLib,24.1818301585754,0.9719290186882,0.974566233195936,2.20370493750111,1503,0.3571220268852,-0.10068782090337,0.853697749196141,0.0150375939849624,79
WTSI-COLO_466,minLib,43.1076035527559,0.978011749631313,0.980783742213819,1.87524207193003,723,0.546739855996426,-0.0999645439524112,0.45016077170418,0.00751879699248126,12
WTSI-COLO_471,minLib,22.6091446374981,0.972059570147233,0.97567318537098,2.57897012916302,1676,0.350802510952363,-0.100851930430021,0.863344051446945,0.0180451127819549,113
WTSI-COLO_478,minLib,44.1748070114073,0.924949834393057,0.925986134324692,2.02853122120365,740,0.450043116154787,-0.100793367099836,0.512861736334405,0.0105263157894737,19
WTSI-COLO_493,minLib,43.1177517769348,0.988141575804463,0.988269418864011,2.05358583992962,936,0.418084219500733,-0.100643605065306,0.596463022508039,0.00902255639097749,29
