gene,n,median_LFC,mean_LFC,q1_LFC,q3_LFC,pct_depleted,rank_most_dependent,percentile_most_dependent
ECD,85,-1.54713873531475,-1.51474839788157,-1.75326221114392,-1.27809751840631,96.47058823529412,93,99.44447799045952
UBA1,85,-1.54658631585091,-1.55657406816353,-1.8390221425897,-1.31291263639526,91.76470588235294,94,99.43843970774712
ARCN1,85,-1.54518843953261,-1.5163874424128871,-1.82736834300536,-1.2251581394496,92.94117647058823,95,99.43240142503473
PSMB2,85,-1.54372608648523,-1.5235142218721502,-1.7396850185178,-1.27500607700867,92.94117647058823,96,99.42636314232233
PSMA5,85,-1.54275794573467,-1.5798157944354805,-1.76351444981386,-1.38888056523471,98.82352941176471,97,99.42032485960993
NUF2,85,-1.53785581592367,-1.5358389870660514,-1.75686557542082,-1.38549734311326,95.29411764705881,98,99.41428657689752
RPL13,85,-1.53668335546979,-1.5554829766577487,-1.77138381068016,-1.29090404256301,94.11764705882352,99,99.40824829418513
SF3A3,85,-1.53422902541777,-1.5836046996769002,-1.89863226636757,-1.26196799484703,87.05882352941177,100,99.40221001147273
POLA2,85,-1.53256133356528,-1.5284178814479106,-1.68447139762891,-1.30425534415788,95.29411764705881,101,99.39617172876034
CDC6,85,-1.5310091123149,-1.496100330488286,-1.76338159390815,-1.29403699141201,92.94117647058823,102,99.39013344604794
CENPM,85,-1.53029356465923,-1.4808092587404775,-1.71230754399535,-1.26434398454224,92.94117647058823,103,99.38409516333554
VPS25,85,-1.52980714442828,-1.5400112286637955,-1.78932019183784,-1.2957824010559,94.11764705882352,104,99.37805688062315
LRR1,85,-1.52946174411104,-1.5469203561175404,-1.79770374207293,-1.25079614059786,92.94117647058823,105,99.37201859791075
MCM4,85,-1.52309694668178,-1.5237026364017723,-1.74326499882882,-1.26119529729119,94.11764705882352,106,99.36598031519836
PHB2,85,-1.52225170878368,-1.5506657039839737,-1.70362655938851,-1.30698715961618,96.47058823529412,107,99.35994203248596
BUB3,85,-1.51965162239711,-1.5570255770446275,-1.74399958084975,-1.34178068680024,96.47058823529412,108,99.35390374977356
CDC45,85,-1.51963650907761,-1.5002136053904678,-1.78864280170003,-1.28058864303524,91.76470588235294,109,99.34786546706117
MED30,85,-1.51831231897,-1.5698326594336436,-1.81400737083938,-1.25905991731857,92.94117647058823,110,99.34182718434877
PSMD11,85,-1.51523230951389,-1.4935834270158996,-1.67405434141892,-1.26528387098522,94.11764705882352,111,99.33578890163638
TARS1,85,-1.51414635130677,-1.5427721051318732,-1.87951057609242,-1.26597171737016,97.6470588235294,112,99.32975061892397
KAT8,85,-1.51286322664371,-1.4984755800259697,-1.74142896872403,-1.25870276835539,96.47058823529412,113,99.32371233621157
EIF4A3,85,-1.50746508873141,-1.454047057817957,-1.74180003707837,-1.18221357667412,90.58823529411765,114,99.31767405349919
CRNKL1,85,-1.50717603309922,-1.4997738288508227,-1.80144262018567,-1.12419491154893,96.47058823529412,115,99.3116357707868
CDCA8,85,-1.50656383364074,-1.5740575268002428,-1.93138418442015,-1.22067825651741,87.05882352941177,116,99.3055974880744
NUP93,85,-1.50647235437969,-1.4811221403663681,-1.69593239611857,-1.28985178668371,92.94117647058823,117,99.299559205362
CLP1,85,-1.50317956929545,-1.5205088893396357,-1.66577426864861,-1.31588896407837,95.29411764705881,118,99.2935209226496
CDC73,85,-1.50191500176587,-1.5007002232229356,-1.75667591427217,-1.29404746947967,89.41176470588236,119,99.2874826399372
PSMD3,85,-1.49978559338144,-1.5013379187978977,-1.79700315609616,-1.2177900548261,95.29411764705881,120,99.2814443572248
PRPF4,85,-1.49723644221364,-1.4875257878188994,-1.65622669796989,-1.25141051553963,97.6470588235294,121,99.2754060745124
SART3,85,-1.49105441988391,-1.5125909240945272,-1.75016585223645,-1.2674829128161,95.29411764705881,122,99.26936779180001
PHF5A,85,-1.49015301267509,-1.4807149984656505,-1.7067847957499,-1.32632112660178,94.11764705882352,123,99.26332950908761
PPIL2,85,-1.48983248865056,-1.547603476698321,-1.77774351645191,-1.34835395513771,96.47058823529412,124,99.25729122637522
MCM3AP,85,-1.48946720765338,-1.4933744802865165,-1.7167499710837,-1.31318745918595,92.94117647058823,125,99.25125294366282
INTS9,85,-1.48885015996672,-1.592003563490246,-1.78927338824907,-1.37804613911005,100.0,126,99.24521466095042
GTF2B,85,-1.48817264164842,-1.5216350709339395,-1.75210155521781,-1.31000585493592,97.6470588235294,127,99.23917637823803
GINS4,85,-1.48787094384218,-1.476941569071512,-1.69538197208595,-1.26679867050171,91.76470588235294,128,99.23313809552563
EFTUD2,85,-1.48582195196584,-1.4748940601443643,-1.64878238393157,-1.24784838512622,96.47058823529412,129,99.22709981281324
PSMC5,85,-1.48315977971498,-1.4903191550725154,-1.77917562978164,-1.30817968085692,91.76470588235294,130,99.22106153010084
RPS11,85,-1.48190506768172,-1.5194566033586394,-1.75379771780988,-1.29530607286732,96.47058823529412,131,99.21502324738844
POLR2L,85,-1.47938620629178,-1.5193908036246573,-1.74584798755914,-1.31995270317359,95.29411764705881,132,99.20898496467605
ELL,85,-1.4771320004426,-1.5067947630182854,-1.80168534954468,-1.3091659322603,94.11764705882352,133,99.20294668196365
